Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Mid-frequency,Cuviers beaked whale,Beaked whale,Aguilar-Soto et al. 2006,"Ligurian Sea, Italy",Continuous,Vessel ,Moving,,356 Hz - 44.8 kHz,,136,rms,Measured,700 m (min distance btw whale and ship),1,,,Foraging,Decreased foraging efficiency - decrease foraging calls during one of the dives (reduction in foraging efficiency of more than 50% for this dive) ,5,Moderate,Not-avoidance,Vocalization Rate Decrease
Mid-frequency,Dolphins ,Dolphin,Henderson et al. 2014,"California, US",MFAS,Mid-frequency sonar,Moving,,2 and 8kHz,,122,peak or peak-to-peak,Measured,,,,,,"Responses included changes in behavioral state or direction of travel, changes in vocalization rates
and call intensity, or a lack of vocalizations while MFA sonar occurred. However, 46% of focal
groups not exposed to sonar also changed their behavior, and 43% of focal groups exposed to sonar
did not change their behavior.",5,Moderate,Not-avoidance,"Vocalization cessation, vocalization rate change, vocalization intensity change"
Mid-frequency,Sperm whale,Sperm whale,Azarra et al. 2013,"Gulf of Mexico, US",Continuous,Vessel ,Moving,,Broadband,,,,,,,,,Foraging,The number of clicks decreased as a ship approached the areas (32 %); after the vessel passed the area there was also a decreased in the detected number of clicks (23%).,5,Moderate,Not measured/reported,Vocalization Rate Decrease
Various,Various,Various,Bailey et al. 2010,"Moray Firth, UK",Pile driving,Pile driving,Stationary,,,,,,,,,,,,Potential theoretical effects on marine mammals,,,,
Mid-frequency,Rough-toothed dolphin,Dolphin,Baird et al. 2014,"Hawaii, US",MFAS,Mid-frequency sonar,Moving,,2.6 - 3.3 kHz,,144,rms,Both,,2,,,Traveling,Individuals did not seem to move to areas with lower RLs. ,0,Low,Not-avoidance,Not measured/reported
Mid-frequency,Bottlenose dolphin,Dolphin,Baird et al. 2014,"Hawaii, US",MFAS,Mid-frequency sonar,Moving,,2.6 - 3.3 kHz,,168,rms,Both,,1,,,,Individual remained in the area for the duration of the sound exposure experiment (3 days). ,0,Low,Not-avoidance,Not measured/reported
Mid-frequency,False killer whale,Black fish,Baird et al. 2014,"Hawaii, US",MFAS,Mid-frequency sonar,Moving,,2.6 - 3.3 kHz,,162,rms,Both,,1,,,Traveling,The pilot whale moved towards areas of higher sonar exposure in the area during the 3 days that the exposures lasted.,0,Low,Approach,Not measured/reported
Mid-frequency,Indo-pacific bottlenose dolphin,Dolphin,Bejder et al. 2006a,"Shark Bay, Australia",Continuous,Vessel ,Moving,,,,,,,,,,,,"During vessel approaches, dolphin groups became more compact, had higher rates of change in membership and had more erratic speeds and directions of travel. Dolphin groups that were in the region of high-vessel traffic had weaker and more short-term responses compared with dolphin in the area with less vessel traffic. ",5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Indo-pacific bottlenose dolphin,Dolphin,Bejder et al. 2006b,"Shark Bay, Australia",Continuous,Vessel ,Moving,,,,,,,,,,,,"Long-term dolphin abundance declined within the tourism site during a period of increased exposure to tour vessels but a relatively constant, and substantially lower, exposure to research vessels.",8,Very high,Avoidance,Not measured/reported
Mid-frequency,Hourgalss dolphin,Dolphin,Bowles et al. 1994,Heard Island,LFAS,Low Frequency Sonar,Stationary,175 m,"57 Hz, max bandwidth of 15 Hz (for narrow-band signal) and 30 Hz (broader band)",1 h of every 3,,,,,,,,,"Apporached boat when source active, in some cases conducted bow riding, and in some cases stayed within 15 m of the vessel's beam.",0,Low,Approach,Not measured/reported
Pinnipeds,Seal,Pinnipeds (in water),Bowles et al. 1994,Heard Island,LFAS,Low Frequency Sonar,Stationary,175 m,"57 Hz, max bandwidth of 15 Hz (for narrow-band signal) and 30 Hz (broader band)",1 h of every 3,,,,,,,,,Seals did not approach as closely the boat when source was active but majority of encounters were short to make observations,6,High,Avoidance,Not measured/reported
Mid-frequency,Southern bottlenose whale,Beaked whale,Bowles et al. 1994,Heard Island,LFAS,Low Frequency Sonar,Stationary,175 m,"57 Hz, max bandwidth of 15 Hz (for narrow-band signal) and 30 Hz (broader band)",1 h of every 3,,,,,,,,,Six out of seven group sightings were heading away from the source. Sightings dropped to less than half their baseline numbers.,6,High,Avoidance,Not measured/reported
Low-frequency,Blue whale,Mysticetes,Bowles et al. 1994,Heard Island,LFAS,Low Frequency Sonar,Stationary,175 m,"57 Hz, max bandwidth of 15 Hz (for narrow-band signal) and 30 Hz (broader band)",1 h of every 3,,,,52 km,1,,,,"Whale's track was generally towards and parallel to the transmitting vessel. At the start of the transmission, the individual turned around abruptly (150°) away from the source and increased rate of travel. After a few minutes the whale was closer to the transmission site and returned to its original travel course. The mean number of blows/min and number of blows per surfacing increased during transmission and remianed high.",6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,Bowles et al. 1994,Heard Island,LFAS,Low Frequency Sonar - but also seismic in the area,Stationary,175 m,"57 Hz, max bandwidth of 15 Hz (for narrow-band signal) and 30 Hz (broader band)",1 h of every 3,,,,,,,,Socializing ,"Sperm whales, which were heard frequently in the area during the baseline period, were silent during the transmissions but their clicks reappeared within 36 h. They either left the area or became silent when the transmissions were underway. Sperm whales may also have been silenced by seismic survey impulses in the area and thus the confounding variables does not allow to give conclusive results on whether sperm whales stopped vocalizing becasue of low frequency sounds or seismic or both.",5,Moderate,Avoidance*,Vocalization cessation
Mid-frequency,Pilot whale,Black fish,Bowles et al. 1994,Heard Island,LFAS,Low Frequency Sonar,Stationary,175 m,"57 Hz, max bandwidth of 15 Hz (for narrow-band signal) and 30 Hz (broader band)",1 h of every 3,,,,,,,,Socializing ,Whales did not vocalize during transmission - few observations which did not allow final conclusions of significance,4,Moderate,Not-avoidance,Vocalization cessation
Low-frequency,Fin whale,Mysticetes,Castellote et al. 2012,Western Mediterranean and Azores ,Seismic-Explosion,Seismic,Moving,,10 - 585 Hz,,112,rms,Measured,,,,,,"Whales 20-Hz note duration shortened, bandwidth decreased, centre frequency decreased and peak frequency decreased. Animal were also physically displaced from the area for several weeks after sound from sesimic had ceased. ",7,High,Avoidance,"Vocalization Frequency Shift, decrease duration vocalizations "
Pinnipeds,Elephant seal,Pinnipeds (in water),Costa et al. 2003,"California, US",LFAS,Low Frequency Sonar,Stationary,,"center frequency 75 Hz, bandwidth of
37.5 Hz","6 times a day, 4-h intervals  for 4 days",137,rms,Measured,4 - 20 km (for RLs reported),24,,1.8 to 2.4,,Animals did not stop diving nor did they change their behaviour. Descent rate and velocity were significantly greater in the hour after exposure; ascent rate was significantly lower during the hour of exposure. Animals that were not exposed to LFS did not have this differences. ,5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Deng et al. 2014,,High frequency ,Echo sounders,Moving,,"200 - 260 kHz, sub-harmonics between 90 to 130 kHz","625 ms, 6.9 pulses per second",,,,,,,,,,,,,
Mid-frequency,Cuviers beaked whale,Beaked whale,DeRuiter et al. 2013a,"California, US",MFAS,Mid-frequency sonar,Stationary,,,1.6 s repeated every 25 s for 30 min,127,rms,Measured,less than 10 km,2,,,Foraging,"Whales stopped normal fluking and echolocation, swam rapidly, silently away from the noise source. Dive duration and subsequent non-foraging interval was extended. Avoidance response lasted for 1.7 h (max).",7,High,Avoidance,Vocalization cessation
Mid-frequency,Cuviers beaked whale,Beaked whale,DeRuiter et al. 2013a,"California, US",MFAS,Mid-frequency sonar,Moving,,,,106,rms,Measured,~118 km away,1,,,Foraging,Shallow dives during exposure were similar to control shallow dives.,0,Low,Not-avoidance,Not measured/reported
Mid-frequency,False killer whale,Black fish,DeRuiter et al. 2013b,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Stationary,,3.1 - 3.4 kHz,1.4 s every 25 s with 30-44 transmissions per exposure,161,peak or peak-to-peak,Measured,,1,,,,"Individual increased whistle rate, produced whistles similar to the playback transmissions (MFA-like whistles) which decreased with increasing time after last sound reception.",4,Moderate,Not-avoidance,"Vocalization Frequency Shift, Increase vocalization rate  "
Mid-frequency,Pilot whale,Black fish,DeRuiter et al. 2013b,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Stationary,,3.1 - 3.4 kHz,1.4 s every 25 s with 30-44 transmissions per exposure,129,peak or peak-to-peak,Measured,,1,,,,Individual did not show any variations,0,Low,Not-avoidance,No change
Mid-frequency,Melon-headed whale,Black fish,DeRuiter et al. 2013b,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Stationary,,3.1 - 3.4 kHz,1.4 s every 25 s with 30-44 transmissions per exposure,144,peak or peak-to-peak,Measured,,1,,,,Individual had lower whistle rates immediately after each MFA reception. ,3,Low,Not-avoidance,Vocalization Rate Decrease
Mid-frequency,Blainvilles beaked whale,Beaked whale,Tyack et al. 2011,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Stationary,,3 - 4 kHz,1.4 sec repeated every 25 s,138,rms,Measured,,1,Female,Adult,Foraging,Beaked whale stopped echolocating during deep foraging dive and then ascended slowly moving away from the sound source. The whale remained in the area for approximately 2 h before making a third foraging dive. ,6,High,Avoidance,Vocalization cessation
Mid-frequency,Blainvilles beaked whale,Beaked whale,Tyack et al. 2011,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Stationary,,3 - 4 kHz,1.4 sec repeated every 25 s,142,rms,Measured,700 m,1,Male,Adult,Foraging,"Beaked whale stopped echolocating during deep foraging dive and then ascended slowly. the tag unexpectedly released from the whale. Two beaked whales were resighted on the surface 2.4 km away from the source ship suggesting that the whales made a long, slow ascent moving away from the sound source.",6,High,Avoidance,Vocalization cessation
Mid-frequency,Blainvilles beaked whale,Beaked whale,Tyack et al. 2011,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Moving,,,1.4 sec repeated every 25 s,146,rms,Measured,,1,Male,Adult,Foraging,"During the 72 h sonar exercise, the whale moved several tens of km farther away. Whale returned 3 days after sound stopped.",7,High,Avoidance,Not measured/reported
Mid-frequency,Blainvilles beaked whale,Beaked whale,Tyack et al. 2011,"Tongue of the Ocean, Bahamas",MFAS,Mid-frequency sonar,Moving,,3.5 - 8 kHz,1 sec up to 6 h,157,rms,Measured,28.9 - 2.2 km,,,,Foraging,Beaked whales were not recorded on hydrophones located where most sonar activity was being conducted. Whales started clicking again in the area 3 days after exposure ceased and the clicking period rate was significantly higher compared with pre-exposure. There was disruption of foraging behaviour but it is not certain whether whales moved away form the area or just stopped clicking (passive acoustic monitoring). ,7,High,Avoidance,Vocalization cessation
Various,Various,Various,Southall et al. 2012,,MFAS,Mid-frequency sonar,Moving,,,,,,,,,,,,NA,,,,
Mid-frequency,Bairds beaked whale,Beaked whale,"Stimpert et al. 2014, Southall et al. 2013","California, US",MFAS,Mid-frequency sonar,Stationary,,3.5 - 4 kHz,"1.6 s every 25, 72 transmissions total over 30 min",127,rms,Measured,30 m deep,1,,,Foraging,"Whale increased swim speed and body movement, and continued to show unusual dive behavior for each of its next three dives. No echolocation clicks and pulsed sounds (interpreted to be foraging) during deep dive conducted during sound exposure. After the start of exposure, focal follow sightings became less frequent due to changes in whale behavior and declining observation conditions. The exposure shallow dive was deeper than any of the other shallow dives, and while the exposure intermediate dive was not the deepest in its class, there was an abrupt change in vertical direction (where the whale appeared to temporarily abort its ascent) that was coincident with the onset of exposure, a pattern not seen in any other intermediate dives. ",5,Moderate,Not-avoidance,Vocalization cessation
Low-frequency,Blue whale,Mysticetes,"GoldBogen et al. 2013, Southall et al. 2012","California, US",MFAS,Mid-frequency sonar,Stationary,,"3.5 - 4 kHz (3.5 - 3.6 kHz linear FM
sweep (0.5 s), then a 3.75 kHz tone (0.5 s), a 0.1 s delay and finally
a 4.0 kHz tone (0.5 s))",1.6 s (duration of the signal) every 25 s for 30 min,160,rms,Measured,minimum range of 200 m,5,,,Foraging,Whales changed their behaviour: whales terminated deep foraging dives and conducted prolonged mid-water dives. Responses varied according with body orientation in relation to the sound source.,5,Moderate,Not-avoidance,Not measured/reported
Low-frequency,Blue whale,Mysticetes,"GoldBogen et al. 2013, Southall et al. 2012","California, US",Artificial sounds,Artificial sounds,Stationary,,"3.5 - 4 kHz (3.5 - 3.6 kHz linear FM
sweep (0.5 s), then a 3.75 kHz tone (0.5 s), a 0.1 s delay and finally
a 4.0 kHz tone (0.5 s))",1.6 s (duration of the signal) every 25 s for 30 min,160,rms,Measured,minimum range of 200 m,4,,,Foraging,Whales changed their behaviour: whales terminated deep foraging dives and conducted prolonged mid-water dives. Responses varied according with body orientation in relation to the sound source.,5,Moderate,Not-avoidance,Not measured/reported
